명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,좌석수,주차 시설,어린이놀이방,개업일,영업시간,쉬는날,대표메뉴,취급메뉴,할인정보,금연/흡연,신용카드정보,포장가능,예약안내,상세정보,인허가번호
흑돈가 제주,63088,흑돈가 제주,064-747-0088,제주특별자치도 제주시 한라대학로 11,33.4800372929,126.4735529330,"KBS 고향이 보인다, SBS 맛대맛, 일본 남해방송 등 국내외 TV 프로그램에서 여러차례 소개된 제주도의 소문난 맛집인 제주 흑돈가는 제주 청정 흑돼지 전문점으로 참숯을 사용한 직화구이로 흑돼지의 담백하고 고소한 맛을 살려준다. 흑돈가에서는 최고 품질의 제주 청정 흑돼지만을 사용하며, 깔끔하고 세련된 실내공간은 그 맛을 더욱 돋보이게 한다.<br>",064-747-0088,,,주차 가능,0,,11:20-23:00,연중무휴,흑돼지생구이,흑돼지 생구이 / 흑돼지 양념구이 / 항정살 외,,모두 금연석,가능,,가능,"화장실:남녀개별, 업소내 위치
",20060628198
진주식당,63592,진주식당,064-762-5158,제주특별자치도 서귀포시 태평로 353,33.2466449994,126.5591646525,"제주도의 별미로는 오분자기 뚝배기, 옥돔구이가 유명한데, 제주도 서귀포시에서 오분자기 뚝배기, 옥돔구이 등 제주 토속음식으로 가장 유명한 식당이 진주식당이다. 또한 진주식당에서는 오분작젓, 전복젓, 갈치젓, 조기젓 등 젓갈류도 포장 판매해 제주청정해역의 맛깔난 해산물의 풍미를 여행에서 돌아와서도 느낄 수 있게 한다. 근처에 천지연폭포가 위치하고 있어 관광과 더불어 식도락을 즐기기에는 제격인 곳이다.<br>",064-762-5158,,,주차 가능,0,,08:00 ~ 20:00,연중무휴,전복뚝배기,전복뚝배기 / 전복죽 / 전복볶음 / 오분작뚝배기 / 성게국 / 옥돔구이 외,,모두 금연석,가능,일부 메뉴 포장 가능,전화 예약 가능 (064-762-5158),"화장실:실내, 남여분리

",19800631004
제주에서첫번째,63195,제주에서첫번째,064-752-6041,제주특별자치도 제주시 중앙로19길 25,33.5093571109,126.5264143400,삼성혈 정문에서 동문시장 쪽으로 내려오다 보면 관광지로 오현단이 있다. 건물 바로 옆에 무료주차장이 있어 이용하기에 편리하다.,064-752-6041,,,주차 가능,0,,10:30 ~ 20:00 (브레이크타임 15:00 ~ 17:00),매주 일요일 정기휴무,순두부,순두부 / 된장찌개 / 김치찌개 / 콩비지찌개,,모두 금연석,가능,,,"화장실:업소내 위치
",20070627451
종달해녀의집,63364,종달해녀의집,064-783-1752,제주특별자치도 제주시 구좌읍 해맞이해안로 2276,33.4971507518,126.9109145748,"제주시 구좌읍에 위치하며 어촌계 직영으로 운영되는 종달해녀의집은 활전복해물뚝배기, 갈치조림, 생선회 등 다양한 메뉴를 제공한다. 올레 21코스 종달비당으로 향하는 길에 있어 올레길을 걷고난 후에 식사하기도 편리하다.",064-783-1752,,,주차 가능,0,,08:15 ~ 21:00,연중무휴,활전복해물뚝배기,활전복해물뚝배기 / 전복물회 / 모둠물회 / 전북죽 / 성게미역국 외,,모두 금연석,가능,가능,전화 예약 가능 (064-783-3033),,19930627216
초원흑돼지,63333,초원흑돼지,064-783-8527,제주특별자치도 제주시 조천읍 신북로 598,33.5396505506,126.6732536664,"제주도 제주시 조천읍 함덕리에 위치한 초원식당은 조약돌 위에 흑돼지 삼겹살과 갈비를 구워 먹는데, 담백함과 쫄깃한 맛이 일품이다.1년동안 숙성시킨 깻잎지에 고기를 싸먹으면 그 맛이 특별하여 다시 찾아오는 손님이 많아 단골고객이 늘었다. 꿩샤브샤브 요리도 별미이며, 쌈에 이용되는 모든 야채를 텃밭에서 유기농으로 재배하여 손님들이 안심하고 먹을 수 있도록 하고 있다.<br>",064-783-8527,,92석,주차 가능,0,,12:00 ~ 22:00 (주문마감 21:00),매주 월요일,흑돼지오겹살,흑돼지오겹살 / 백돼지양념갈비 / 옥돔구이 / 고등어구이 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (064-783-8527),,19820627038
올래국수,63119,올래국수,064-742-7355,제주특별자치도 제주시 귀아랑길 24,33.4914891794,126.4972061735,"제주시 연동에 있는 올래국수는 고기국수 전문 식당이다. 메뉴에는 고기국수, 멸치국수, 비빔국수가 있으며 주문은 카운터에서 하고 기다려야 한다.",064-742-7355,,,,0,,08:30 ~ 15:00 (라스트오더 14:50),일요일 / 명절연휴,고기국수,고기국수,,모두 금연석,가능,,,,20060628172
돈사돈,63107,돈사돈,064-746-8989,제주특별자치도 제주시 우평로 19,33.4788761598,126.4640871155,제주산 흑돼지를 맛볼 수 있는 곳이다. 대표메뉴는 흑돼지 오겹살이다. 제주특별자치도 제주시에 있는 한식 전문점이다.,064-746-8989,,,주차 가능,0,,12:00~22:00,매주 화요일 정기휴무,흑돼지오겹살,흑돼지오겹살 / 김치찌개,,모두 금연석,없음,,,"화장실:남녀구분

",20050628231
모이세해장국,63145,모이세해장국,064-746-5128,제주특별자치도 제주시 연북로 221,33.4817126104,126.5051390387,계란을 풀어먹으면 더 맛있는 해장국 맛집이다. 대표메뉴는 해장국이다. 제주특별자치도 제주시에 있는 한식전문점이다.,064-746-5128,,,주차 가능,0,,06:00-18:00,연중무휴,해장국,해장국 / 내장탕 / 육개장 / 순두부,,모두 금연석,가능,가능,전화 예약 문의 (064-746-5128),,20160628755
큰갯물횟집,63544,큰갯물횟집,064-738-1625,제주특별자치도 서귀포시 대포로 161,33.2394161069,126.4382280753,"서귀포에서 중문 방면으로 한적한 바닷가를 끼고 가다 보면 대포항회타운이 나타나며, 이중 2층 양옥과 넓은 주차공간, 탁트인 바다경관을 자랑하는 회전문식당이 큰갯물횟집이다.<br>",0507-1360-1625,,,주차 가능,0,,11:50 ~ 22:00 (라스트오더 21:00),연중무휴,활어회,활어회 / 매운탕,,모두 금연석,가능,가능,전화 예약 문의 (064-738-1625),,19950631150
돔베돈,63277,돔베돈,064-753-0008,제주특별자치도 제주시 관덕로15길 25,33.5155647604,126.5266586225,"예로부터 제주 도민들이 즐겨 먹는 삶은 돼지고기 요리인 ‘돔베고기’는 도마 위에 바로 썬 삶은 돼지고기라는 제주도 말이다. 기름기가 쫙 빠져서 담백한 맛이 일품인 돔베고기는 다이어트에도 좋아 미용에 관심이 많은 젊은 여성들이 더 좋아한다. 제주시 탑동 스위스호텔 뒷편 삼겹살 골목에 이 돔베고기를 전문으로 하는 음식점인 ‘돔베돈’이 있다. 제주도에서 가장 유명한 고기는 뭐니 뭐니 해도 돼지고기인데 일반 도심의 식당들처럼 그냥 구워 먹는 것이 아니라 제주도 전통 방식으로 요리를 하는 것이기에 쉽게 접할 수 있는 음식이 아니다. 돔베고기 외에도 흑돼지구이, 돌솥밥 등도 맛이 좋다.<br>",064-753-0008,,,주차 가능,0,,11:00 - 23:00 <br>브레이크타임 16:00 - 17:00,연중무휴,항정살,항정살 / 돔베고기 / 제주흑돼지 / 흑돼지불고기 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (064-753-0008),"화장실:남녀개별 / 업소 내부 위치
",19960627349
